Table 2. Velocities of cGPS stations in the Taiwan area w.r.t. Paisha, Penghu (2007-2013)
Site	Lon. (ขX)	Lat. (ขX)	Vh (mm/yr)	Azi(ขX)		Vu (mm/yr)   Period (year)
S102    121.55815       22.03721        84.3กำ2.2       305.3กำ1.1      0.4กำ5.7        2007~2010.8  
S103    120.47519       23.56437        7.8กำ0.4        299.8กำ1.7      -1.6กำ1.3       2007~2014    
S104    121.18938       22.82076        67.8กำ0.5       307.1กำ0.3      1.5กำ1.5        2007~2014    
S105    121.11289       22.95165        33.7กำ0.5       293.1กำ0.5      -4.1กำ1.6       2007~2014    
S106    120.33409       23.05079        16.9กำ0.6       261.5กำ1.7      2.4กำ1.2        2007~2014    
S167    120.9341        23.95442        23.4กำ0.4       297.4กำ0.6      1.6กำ1.4        2007~2014    
S169    120.50331       22.94229        46.5กำ0.5       269.4กำ0.4      -0.5กำ1.6       2007~2014    
S170    120.76763       23.74596        24.6กำ0.4       293กำ0.5        0.5กำ1.4        2007~2014    
S23R    120.60617       22.64498        55.3กำ0.5       270.3กำ0.3      1.4กำ2          2007~2014    
SALU    120.5783        24.14445        2.4กำ0.4        311.6กำ5.9      -1.4กำ1.5       2007~2014    
SAND    120.64064       22.71727        57.9กำ0.6       270.7กำ0.4      3.6กำ1.9        2007~2014    
SANI    120.76873       24.41435        4.3กำ0.6        327.4กำ6.3      -15.6กำ7.4      2007~2014    
SANJ    121.50087       25.26079        1.5กำ0.4        23.2กำ11.3      -3.1กำ1.9       2007~2014    
SANL    120.76855       23.66448        25.9กำ0.6       295.9กำ0.9      1.6กำ1.4        2007~2014    
SCHN    121.65159       24.12779        13.8กำ1         289.1กำ2.6      -1.3กำ3.7       2008.8~2014  
SFON    121.01016       24.93289        1.1กำ0.5        338.2กำ20.6     -4.2กำ1.6       2007~2014    
SGAN    120.34965       22.58127        50กำ0.6         247.3กำ0.5      -1.8กำ1.7       2007~2014    
SGUN    120.69188       24.27163        4.1กำ0.4        297.8กำ3.2      -3.7กำ1.4       2007~2014    
SHAN    121.19949       23.10886        34.9กำ0.6       301.9กำ0.6      -7.7กำ2.3       2007~2014    
SHUL    121.56273       23.78761        43.2กำ0.6       318.4กำ0.6      -11.1กำ2.1      2007~2014    
SHWA    120.34781       23.02143        20.8กำ0.5       259.5กำ0.6      3.1กำ1.3        2007~2014    
SILN    120.64604       23.16038        35.2กำ1.7       274.2กำ1.6      9.1กำ7          2007~2009.6  
SINL    121.25462       22.90829        65.5กำ0.6       310กำ0.3        0.5กำ1.8        2007~2014    
SJPU    120.48126       23.42854        12.2กำ0.4       286.2กำ1.4      -0.9กำ2         2007~2014    
SLIN    121.4414        23.81185        27.2กำ1.1       304.8กำ1.8      3.9กำ3.9        2007~2014    
SLNP    121.63563       24.75311        4.2กำ0.4        80.3กำ4.1       -3.2กำ1.4       2007~2014    
SONA    120.98584       24.39781        10.9กำ0.5       315กำ1.9        0.1กำ1.7        2007.5~2014  
SPAO    121.48486       24.20501        12.1กำ0.7       320กำ2.5        9.7กำ2.5        2007~2014    
SSUN    120.37777       23.41415        9กำ0.4          284.2กำ1.9      -2.1กำ1.3       2007~2014    
STA1    120.97926       24.6356         4.6กำ0.7        340.8กำ6.3      2.6กำ3          2008.1~2014  
SUAB    121.8679        24.59391        32.1กำ2         141.7กำ2.3      -4.9กำ4.8       2007~2011    
SUAN    120.29988       23.47757        3.9กำ0.5        283.3กำ4.5      -6.5กำ3.2       2007~2014    
SUAO    121.86707       24.59239        31.6กำ0.7       140.9กำ0.9      -5.1กำ1.7       2007~2014    
SUCH    120.90758       24.29107        6.9กำ1.1        284.2กำ7.4      7.9กำ4.1        2007~2014    
SUN1    120.90835       23.88124        24.4กำ0.4       298.3กำ0.5      1.9กำ1.5        2007~2014    
TAIP    121.67317       25.03452        3.6กำ0.5        69.1กำ5         -3.2กำ1.7       2007.2~2014  
TANS    121.42689       25.1815         3.1กำ2.2        144.2กำ31.5     4กำ4.4          2007~2014    
TAPE    121.23087       23.12557        41.4กำ0.6       298.9กำ0.5      -11.3กำ1.7      2007~2014    
TAPO    121.23741       23.12706        62.2กำ0.7       311.5กำ0.4      10.3กำ2         2007~2014    
TAPU    120.58541       23.2508         31กำ0.6         283.1กำ0.7      4.9กำ1.7        2007~2014    
TATA    120.88705       23.4814         44.7กำ0.8       288.6กำ0.7      2.3กำ2.5        2007~2014    
TEGS    120.65498       24.35621        2.4กำ0.3        308.3กำ4.7      -0.1กำ1.3       2007~2014    
TENC    120.91567       23.27779        22.7กำ2.1       285.9กำ2.2      -1.8กำ3.5       2007~2014    
THAI    121.29559       24.60712        9.1กำ0.6        353กำ3.1        2.3กำ1.5        2007~2014    
TMAL    120.95987       22.64892        35.9กำ0.9       288.5กำ1        0.2กำ2.1        2007~2013.9  
TOFN    120.9248        24.66204        4กำ0.4          327.1กำ3.9      -0.1กำ1.4       2007~2014    
TSHI    121.63276       25.25691        2.5กำ0.5        45กำ8           -1.7กำ2         2007~2014    
TSIO    120.7041        24.47279        2.5กำ0.4        315กำ5.7        0.2กำ1.4        2007~2014    
TSLN    120.71938       23.63432        21.2กำ0.6       289.9กำ1.3      4.8กำ2.1        2007.3~2012.8
TTSH    121.14762       22.74713        46.1กำ0.6       286.8กำ0.5      -6.2กำ2.9       2008.4~2014  
TTUN    121.0807        22.76455        44.1กำ0.6       286.3กำ0.6      -4.6กำ1.8       2007~2014    
TUCN    121.49613       24.57484        10.9กำ0.7       39.1กำ2.8       10กำ3.2         2007~2014    
TUNH    121.30022       23.07516        60กำ0.8         312กำ0.5        0กำ1.9          2007~2014    
TUNM    121.49358       23.96521        25.1กำ0.9       307.2กำ1.4      -1.2กำ3.3       2007~2014    
TUNS    120.40404       23.31724        8.2กำ0.4        286.2กำ2.1      -6.3กำ1.6       2007~2014    
W021    120.54951       23.53568        13.3กำ1.4       290.2กำ4        -0.6กำ6.9       2007~2014    
W029    120.66425       23.54079        19.1กำ0.9       283กำ1.3        0.4กำ2.5        2007~2014    
WANC    120.52633       23.18684        32.3กำ0.6       280กำ0.7        4กำ1.9          2007.1~2014  
WANL    121.63756       25.16938        3.8กำ0.5        71.6กำ4.7       -1.9กำ1.9       2007~2014    
WANS    120.88519       23.6075         32.8กำ0.5       293กำ0.6        7.7กำ1.7        2007~2014    
WDAN    120.50431       22.60606        52.5กำ0.7       267.2กำ0.3      -3.6กำ1.8       2007.1~2014  
WFEN    120.69947       24.04194        7.1กำ0.4        295.8กำ1.8      -3.8กำ1.2       2007~2014    
WIPN    121.05855       24.67463        6.1กำ0.6        335.9กำ3.7      -0.1กำ2.2       2007~2014    
WUFN    120.69939       24.04278        7.1กำ0.4        293.3กำ1.8      -3.8กำ1.3       2007~2014    
