>>time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019/7/21,35.6455,-117.5035,4.89,3.35,ml,57,32,0.04662,0.14,ci,ci38615255,2019-10-04T16:37:30.040Z,"16km E of Ridgecrest, CA",earthquake,0.11,0.26,0.147,296,reviewed,ci,ci
2019/7/21,35.9141655,-117.7388306,2.37,2.5,ml,41,37,0.07302,0.15,ci,ci38614671,2019-07-21T03:46:14.760Z,"15km E of Little Lake, CA",earthquake,0.19,0.32,0.246,20,automatic,ci,ci
2019/7/21,35.6725,-117.4665,8.75,3.18,ml,49,43,0.03564,0.14,ci,ci38614479,2019-10-04T16:37:29.040Z,"12km SSW of Searles Valley, CA",earthquake,0.13,0.31,0.123,109,reviewed,ci,ci
2019/7/21,35.8623333,-117.6863333,8.29,2.67,ml,41,41,0.08338,0.18,ci,ci37422229,2019-07-25T15:58:27.199Z,"22km ESE of Little Lake, CA",earthquake,0.17,0.54,0.063,13,reviewed,ci,ci
2019/7/21,35.9128333,-117.7345,2.73,3.36,ml,56,19,0.07672,0.15,ci,ci38614407,2019-10-04T16:37:29.040Z,"16km E of Little Lake, CA",earthquake,0.1,0.23,0.175,283,reviewed,ci,ci
2019/7/21,37.3381667,-117.9041667,7.89,2.56,md,41,92,0.3005,0.1,nc,nc73230371,2019-08-26T23:36:11.071Z,"8km ESE of Deep Springs, CA",earthquake,0.46,1.06,0.3,43,reviewed,nc,nc
2019/7/21,35.9646667,-117.668,1.1,2.52,ml,29,74,0.06107,0.2,ci,ci38614039,2019-07-21T00:56:53.159Z,"22km E of Little Lake, CA",earthquake,0.29,0.44,0.178,25,automatic,ci,ci
2019/7/21,35.6765,-117.5438333,7.88,2.5,ml,35,38,0.05811,0.18,ci,ci38613871,2019-07-21T00:18:58.770Z,"13km ENE of Ridgecrest, CA",earthquake,0.23,0.73,0.127,24,automatic,ci,ci
2019/7/20,35.6843333,-117.5498333,7.92,2.66,ml,35,39,0.06411,0.16,ci,ci38613343,2019-07-20T22:37:48.650Z,"13km ENE of Ridgecrest, CA",earthquake,0.2,0.71,0.205,25,automatic,ci,ci
2019/7/20,35.7678333,-117.5888333,5.02,3.31,ml,51,36,0.04832,0.13,ci,ci38613175,2019-10-04T16:37:28.040Z,"17km W of Searles Valley, CA",earthquake,0.11,0.27,0.175,125,reviewed,ci,ci
2019/7/20,35.6036667,-117.4066667,7.55,3.08,ml,71,26,0.04839,0.14,ci,ci38613055,2020-01-29T20:52:42.765Z,"18km S of Trona, CA",earthquake,0.11,0.27,0.13,250,reviewed,ci,ci
2019/7/20,35.8836667,-117.7316667,0.01,2.64,ml,33,47,0.07966,0.2,ci,ci38612967,2019-07-20T20:58:51.238Z,"17km ESE of Little Lake, CA",earthquake,0.25,31.61,0.177,26,automatic,ci,ci
2019/7/20,35.874,-117.7076667,8.97,3.54,mlr,72,19,0.01171,0.16,ci,ci38612295,2020-02-12T20:20:41.065Z,"19km ESE of Little Lake, CA",earthquake,0.11,0.25,0.127,137,reviewed,ci,ci
2019/7/20,35.8895,-117.7323333,2.4,2.51,ml,36,33,0.08499,0.17,ci,ci38612151,2019-07-20T18:28:55.250Z,"17km ESE of Little Lake, CA",earthquake,0.19,0.37,0.162,25,automatic,ci,ci
2019/7/20,33.3113333,-116.2551667,11.65,3.14,ml,117,20,0.09501,0.19,ci,ci38612127,2019-10-04T16:37:27.040Z,"13km ENE of Borrego Springs, CA",earthquake,0.1,0.27,0.138,237,reviewed,ci,ci
2019/7/20,35.9506667,-117.7043333,2.95,3.38,ml,55,33,0.04386,0.16,ci,ci38612055,2019-10-04T16:37:27.040Z,"18km E of Little Lake, CA",earthquake,0.12,0.37,0.182,99,reviewed,ci,ci
2019/7/20,36.0796667,-117.8228333,2.99,2.85,ml,29,54,0.04587,0.15,ci,ci38611367,2019-07-20T17:37:33.462Z,"12km ENE of Coso Junction, CA",earthquake,0.26,0.64,0.214,25,automatic,ci,ci
2019/7/20,35.6781667,-117.4666667,8.93,2.66,ml,31,87,0.08119,0.2,ci,ci38610879,2019-07-20T13:54:44.362Z,"11km SSW of Searles Valley, CA",earthquake,0.29,0.74,0.182,25,automatic,ci,ci
2019/7/20,35.6716667,-117.484,1.06,2.51,ml,27,61,0.04955,0.15,ci,ci38610031,2019-07-20T13:00:08.818Z,"13km SW of Searles Valley, CA",earthquake,0.18,0.35,0.095,26,automatic,ci,ci
2019/7/20,35.689,-117.5265,6.97,2.86,ml,38,49,0.07529,0.17,ci,ci38609239,2019-07-20T15:39:45.983Z,"14km SW of Searles Valley, CA",earthquake,0.2,0.58,0.124,25,automatic,ci,ci
2019/7/20,35.7833333,-117.624,5.79,2.65,ml,34,47,0.03885,0.23,ci,ci38607719,2019-07-20T03:04:31.169Z,"19km NNE of Ridgecrest, CA",earthquake,0.27,0.88,0.187,25,automatic,ci,ci
2019/7/20,35.883,-117.6846667,5.13,3.67,mw,73,16,0.01654,0.16,ci,ci38607695,2020-02-12T20:07:15.543Z,"21km ESE of Little Lake, CA",earthquake,0.11,0.19,,6,reviewed,ci,ci
2019/7/20,35.9076667,-117.72,4.98,2.8,ml,30,58,0.08955,0.18,ci,ci38607671,2019-07-20T02:58:18.798Z,"17km E of Little Lake, CA",earthquake,0.23,1.33,0.156,26,automatic,ci,ci
2019/7/19,35.652,-117.4918333,8.72,3.47,ml,58,34,0.05227,0.16,ci,ci38606951,2019-10-04T16:37:24.040Z,"15km SSW of Searles Valley, CA",earthquake,0.12,0.29,0.153,267,reviewed,ci,ci
2019/7/19,33.4528333,-116.5763333,10.8,3.59,ml,147,19,0.04702,0.18,ci,ci38605615,2019-10-04T16:37:23.040Z,"14km SE of Anza, CA",earthquake,0.09,0.25,0.145,153,reviewed,ci,ci
2019/7/19,35.8318333,-117.6603333,5.47,2.53,ml,32,39,0.05352,0.2,ci,ci38605447,2019-07-19T18:06:09.060Z,"24km N of Ridgecrest, CA",earthquake,0.23,0.84,0.197,25,automatic,ci,ci
2019/7/19,35.3821667,-117.831,1.83,2.6,ml,44,40,0.1151,0.2,ci,ci38605263,2019-07-19T18:49:53.333Z,"18km W of Johannesburg, CA",earthquake,0.25,0.62,0.155,26,automatic,ci,ci
2019/7/19,36.1946667,-117.8888333,2.12,2.83,ml,27,61,0.08169,0.2,ci,ci38605175,2019-07-19T17:24:08.817Z,"14km SE of Olancha, CA",earthquake,0.4,0.75,0.175,26,automatic,ci,ci
2019/7/19,35.715,-117.495,4.61,3.51,mlr,80,22,0.06301,0.15,ci,ci38605023,2020-02-12T19:46:21.188Z,"10km SW of Searles Valley, CA",earthquake,0.09,0.22,0.136,153,reviewed,ci,ci
2019/7/19,36.1106667,-117.8395,1.84,3.43,mw,20,52,0.1303,0.11,ci,ci38604199,2019-10-04T16:37:21.040Z,"12km NE of Coso Junction, CA",earthquake,0.18,0.37,,4,reviewed,ci,ci
2019/7/19,35.8938333,-117.6845,2.61,3.47,mw,57,22,0.06065,0.17,ci,ci38603967,2019-10-04T16:37:20.040Z,"21km ESE of Little Lake, CA",earthquake,0.11,0.25,,4,reviewed,ci,ci
2019/7/19,35.6238333,-117.5738333,7.94,3.23,ml,61,25,0.004244,0.15,ci,ci38603871,2019-10-04T16:37:20.040Z,"9km E of Ridgecrest, CA",earthquake,0.11,0.28,0.157,199,reviewed,ci,ci
2019/7/19,35.656,-117.4488333,6.58,2.62,ml,36,60,0.06664,0.18,ci,ci38603639,2019-07-19T12:07:08.572Z,"13km SSW of Searles Valley, CA",earthquake,0.26,0.72,0.222,25,automatic,ci,ci
2019/7/19,35.585,-117.3578333,4.56,3.65,mw,84,24,0.05798,0.17,ci,ci38603223,2020-02-12T19:36:49.442Z,"20km S of Trona, CA",earthquake,0.12,0.26,,4,reviewed,ci,ci
2019/7/19,36.1965,-117.8888333,1.47,2.73,ml,26,61,0.08342,0.19,ci,ci38603063,2019-07-19T10:31:16.630Z,"14km SE of Olancha, CA",earthquake,0.33,0.73,0.159,26,automatic,ci,ci
2019/7/19,36.0733333,-117.847,1.3,2.58,ml,32,53,0.04461,0.16,ci,ci38602807,2019-07-19T09:45:59.217Z,"10km ENE of Coso Junction, CA",earthquake,0.23,0.35,0.164,25,automatic,ci,ci
2019/7/19,36.0743333,-117.8486667,2.09,3.06,ml,52,53,0.04345,0.16,ci,ci38602799,2019-10-04T16:37:19.040Z,"10km ENE of Coso Junction, CA",earthquake,0.13,0.19,0.117,140,reviewed,ci,ci
2019/7/19,35.644165,-117.4606705,2.36,2.71,ml,52,39,0.05755,0.17,ci,ci38602647,2019-07-19T09:01:15.600Z,"15km SSW of Searles Valley, CA",earthquake,0.18,0.48,0.243,24,automatic,ci,ci
2019/7/19,35.929,-117.6838333,2.44,2.51,ml,31,72,0.06699,0.15,ci,ci38602271,2019-07-19T16:19:55.703Z,"20km E of Little Lake, CA",earthquake,0.18,0.35,0.098,25,automatic,ci,ci
2019/7/19,35.8968333,-117.6845,2.5,2.52,ml,30,38,0.058,0.15,ci,ci38601175,2019-07-19T04:21:55.240Z,"20km ESE of Little Lake, CA",earthquake,0.16,0.3,0.145,25,automatic,ci,ci
2019/7/19,36.1226667,-117.8261667,2.61,3.34,ml,51,51,0.02378,0.16,ci,ci38600815,2019-10-04T16:37:18.040Z,"14km NE of Coso Junction, CA",earthquake,0.13,0.37,0.132,91,reviewed,ci,ci
2019/7/19,35.8741667,-117.697,7.5,2.58,ml,33,48,0.0856,0.16,ci,ci38600727,2019-07-19T02:48:01.630Z,"20km ESE of Little Lake, CA",earthquake,0.2,0.7,0.235,25,automatic,ci,ci
2019/7/19,33.3098333,-116.2568333,11.54,3.15,ml,133,20,0.09389,0.2,ci,ci38600223,2019-10-04T16:37:18.040Z,"12km ENE of Borrego Springs, CA",earthquake,0.1,0.27,0.159,190,reviewed,ci,ci
2019/7/19,35.9136667,-117.4365,0.98,3.12,ml,55,39,0.107,0.16,ci,ci38600023,2019-10-04T16:37:17.040Z,"16km N of Searles Valley, CA",earthquake,0.12,0.21,0.146,120,reviewed,ci,ci
2019/7/19,35.6496667,-117.4655,2.34,3.16,ml,71,24,0.03738,0.13,ci,ci38599935,2020-01-29T19:58:20.130Z,"14km SSW of Searles Valley, CA",earthquake,0.08,0.14,0.133,262,reviewed,ci,ci
2019/7/18,36.1113333,-117.8316667,2.07,2.74,ml,29,47,0.01979,0.17,ci,ci38599911,2019-07-19T00:05:48.940Z,"13km NE of Coso Junction, CA",earthquake,0.21,0.34,0.158,25,automatic,ci,ci
2019/7/18,35.784,-117.6241667,5.75,3.65,mlr,69,31,0.03838,0.14,ci,ci38599327,2020-02-12T19:23:37.135Z,"19km NNE of Ridgecrest, CA",earthquake,0.1,0.32,0.167,202,reviewed,ci,ci
2019/7/18,36.1111667,-117.8865,1.56,2.83,ml,22,57,0.02641,0.15,ci,ci38598855,2019-07-19T04:19:28.177Z,"9km NE of Coso Junction, CA",earthquake,0.22,0.33,0.187,27,automatic,ci,ci
2019/7/18,35.9271667,-117.6846667,2.53,2.59,ml,33,38,0.03467,0.16,ci,ci38597815,2019-07-18T16:54:12.620Z,"20km E of Little Lake, CA",earthquake,0.18,0.4,0.164,26,automatic,ci,ci
