# lon lat depth mag.
120.935 22.740 53.1 3.29
122.367 24.882 12.3 3.74
122.500 24.714 5.9 3.05
122.390 24.846 2.5 3.18
121.769 24.270 42.5 3.05
119.649 21.124 33.0 4.5
122.785 24.551 86.4 4.17
121.949 23.255 38.8 3.5
121.814 23.875 50.2 3.08
121.116 23.858 30.6 3.36
120.284 22.121 7.8 4.62
122.343 24.827 0.7 4.66
122.296 24.844 12.5 3.79
122.394 24.864 11.2 3.59
121.437 23.063 28.3 3.18
122.441 24.857 9.5 3.31
122.403 24.844 13.3 3.18
122.338 24.859 11.9 3.15
122.285 24.045 1.2 3.97
122.575 24.872 108.5 3.95
122.274 24.600 70.2 3.28
122.460 24.878 6.7 3.13
121.962 23.085 11.3 3.84
121.742 23.212 22.7 3.3
121.649 23.560 26.4 3.5
121.678 23.729 28.6 4.48
121.657 23.705 35.9 3.22
122.456 24.857 9.8 3.75
121.872 23.739 20.5 3.59
122.253 24.526 53.6 3.67
122.236 24.145 3.3 3.63
121.356 23.041 2.6 3.26
122.369 24.108 31.2 3.46
120.696 22.934 4.3 3.21
122.181 24.250 7.0 3.42
121.383 23.185 8.4 3.52
122.578 24.777 15.7 3.02
121.632 23.567 6.6 3.46
121.724 23.716 5.5 3.49
121.953 24.293 25.5 3.04
122.097 24.192 3.8 3.33
121.604 23.711 26.6 3.22
122.404 24.867 10.4 3.17
122.977 23.163 8.0 4.25
121.966 24.326 22.3 3.09
121.975 24.327 20.3 3.6
121.045 22.669 1.5 4.17
122.419 24.869 8.1 3.41
121.792 24.563 66.3 3.61
122.447 24.898 9.7 3.07
122.470 24.824 1.8 3.05
120.546 24.650 16.1 3.36
121.234 22.165 46.2 3.46
121.376 23.130 28.6 3.03
121.931 24.377 21.0 3.21
121.732 23.787 8.1 3.58
121.838 23.820 29.0 3.51
121.582 22.020 1.2 4.35
121.380 22.497 25.3 4.25
120.747 22.592 35.7 3.28
121.233 23.051 7.5 3.56
121.593 23.968 40.6 3.26
121.409 23.027 1.6 3.04
121.097 23.088 20.9 3.37
121.352 22.718 24.0 3.05
122.049 24.811 12.3 3.57
121.988 24.818 1.3 3.05
122.016 24.815 3.1 3.27
122.012 24.822 4.4 3.67
122.016 24.825 1.3 3.52
121.296 23.044 10.8 3.36
122.134 24.243 5.2 3.66
122.614 23.915 16.3 4.43
122.822 24.323 7.7 4.76
121.436 23.664 1.6 3.41
122.747 23.646 9.2 3.71
121.536 23.913 4.9 3.63
121.586 23.762 0.8 3.84
122.204 25.010 132.8 3.02
121.990 24.803 1.5 3.07
122.446 24.861 7.1 3.3
121.834 23.835 28.9 3.59
122.712 23.922 15.6 4.22
121.534 22.237 78.3 3.99
121.880 24.037 38.4 3.08
122.225 24.067 10.3 3.88
121.520 23.639 5.6 3.23
120.962 22.907 0.6 3.74
122.224 24.778 1.1 3.41
122.027 24.782 1.5 3.17
122.026 24.772 1.0 3.03
121.942 24.372 25.4 3.01
121.352 22.928 8.0 3.48
121.589 23.392 29.9 3.3
122.019 24.790 2.4 3.47
121.801 23.843 13.3 3.93
120.896 22.712 0.7 4.25
122.062 23.420 28.2 3.4
121.965 24.415 21.2 3.6
120.963 23.596 2.6 3.19
121.632 24.321 6.7 3.39
120.903 22.790 10.7 3.18
120.899 22.785 8.2 3.55
121.651 22.361 21.3 3.17
122.207 24.028 5.5 3.73
120.965 22.921 0.7 3.79
121.349 23.167 5.5 3.42
121.471 23.941 11.5 3.03
122.419 24.132 6.4 4.7
122.007 24.123 30.5 3.33
122.025 24.371 29.9 3.23
121.960 24.296 25.5 3.38
121.095 23.778 21.7 3.12
121.973 23.907 32.7 3.14
121.439 24.035 1.4 3.48
121.409 22.053 17.7 3.29
120.909 22.697 0.5 3.99
121.748 23.886 13.9 3.21
121.144 22.009 36.3 3.31
120.644 23.291 6.2 4.07
121.831 24.199 0.8 5.05
121.769 24.195 0.5 3.38
121.809 24.185 3.2 3.04
121.804 24.184 1.4 5.15
121.823 24.173 1.2 4.38
121.866 24.164 4.3 3.7
121.877 24.138 5.8 3.65
121.792 24.181 3.3 3.21
121.807 24.175 1.6 3.01
121.824 24.167 1.6 3.2
121.816 24.174 7.0 3.24
121.856 24.150 7.7 3.36
121.797 24.198 5.2 3.5
121.823 24.172 1.4 3.05
122.429 24.617 1.4 3.6
121.808 24.181 2.1 3.0
121.846 24.166 1.5 3.41
121.749 24.175 1.0 3.14
121.756 24.173 4.7 3.21
122.321 24.591 0.9 3.39
122.016 24.346 23.6 3.73
121.779 24.210 1.3 3.55
121.790 24.209 1.7 4.13
121.990 24.393 22.0 3.26
121.767 24.162 5.2 3.22
121.782 24.238 0.6 3.74
122.133 24.241 16.3 3.14
122.577 23.934 12.0 4.33
121.777 24.195 1.7 3.0
121.732 24.160 0.5 3.57
121.832 24.247 2.2 3.14
121.493 24.493 12.1 3.84
122.385 24.094 0.1 3.38
121.760 24.187 0.5 4.55
122.521 24.672 8.7 3.83
121.810 24.263 5.8 3.73
121.773 24.160 2.6 3.13
121.744 24.159 0.6 3.54
121.335 22.716 34.8 3.84
121.761 24.167 4.6 3.08
121.766 24.158 8.6 3.32
122.494 24.753 10.4 3.93
121.729 24.175 8.1 3.0
121.718 24.180 5.5 3.23
121.725 24.197 3.6 3.32
122.026 24.009 5.3 3.46
122.127 24.493 55.5 3.09
121.775 24.142 7.5 3.11
121.341 22.734 28.7 3.51
121.728 23.881 12.2 4.57
121.729 24.185 3.6 3.28
121.736 24.176 7.3 3.41
121.947 24.387 17.8 3.08
121.620 24.002 25.0 3.37
121.813 24.236 7.0 3.22
121.813 24.235 6.9 3.69
121.842 24.240 5.5 3.04
121.844 24.242 1.5 3.09
121.832 24.217 12.5 3.05
120.529 21.857 43.7 4.45
121.751 24.165 3.0 3.04
121.483 23.704 0.8 3.19
121.970 24.336 24.3 3.11
121.595 23.492 36.5 3.38
121.990 24.799 96.9 4.55
122.153 23.795 31.5 4.26
