> AF-AN     
-109.857    -9.677                   
-110.292    -10.802                  
-111.077    -12.742                  
-111.007    -13.411                  
-111.266    -13.541                  
-111.846    -13.465                  
-112.613    -14.718                  
-113.066    -16.351                  
-113.165    -16.67                   
-113.241    -17.052                  
-113.329    -17.521                  
-113.388    -17.994                  
-113.52     -18.758                  
-113.623    -19.285                  
> OK-PS
140.87      34.529                   
> MA/PA
143.097     11.569                   
> KE-TO
-174.985    -23.75                   
> NI-AU 
-176.549    -19.217                  
> TO-NI
-174.264    -15.314                  
-174.87     -15.88                   
> TO-AU
-176.182    -20.106                  
> SC-AN
-50.887     -60.094                  
-49.599     -60.044                  
-48.251     -59.968                  
-46.963     -59.96                   
-45.603     -60.091                  
> EU-SU
111.569     17.955                   
112.098     18.038                   
112.628     18.121                   
113.313     18.28                    
> YA-SU
114         18.438                   
> AP-SA
-71.307     -21.965                  
> PA-NA
-108.582    21.905                   
> RI-PA
-108.977    21.347                   
-109.285    20.558                   
-109.45     20.027                   
-109.16     19.806                   
-108.896    19.55                    
-108.534    19.384                   
-108.233    19.107                   
-107.816    18.936                   
-107.523    18.863                   
-107.272    18.756                   
-107.002    18.647                   
-106.756    18.59                    
-106.527    18.544                   
-106.308    17.929                   
> PS-SU
122.086     15.648                   
122.555     15.493                   
123.024     15.337                   
123.492     15.18                    
123.959     15.023                   
124.425     14.864                   
> MS-BH
126.817     -1.018                   
> SU-BU
94.024      10.17                    
93.986      9.019                    
94.171      8.686                    
94.429      8.312                    
94.46       7.603                    
> MS-SU
125.263     -0.446                   
124.857     -0.269                   
123.535     1.354                    
123.448     1.812                    
> EU-NA
-16.487     68.808                   
-19.099     67.058                   
-18.247     66.781                   
-17.718     66.365                   
-19.238     63.862                   
-20.097     63.949                   
-20.731     64.017                   
-23.059     63.65                    
-25.311     62.614                   
-28.927     60.333                   
> IN-AU
73.704      -5.778                   
73.77       -4.927                   
76.779      -5.046                   
> PA-AU
163.235     -50.079                  
162.963     -50.369                  
162.785     -50.443                  
162.594     -50.549                  
162.453     -50.668                  
162.273     -50.817                  
162.049     -50.962                  
161.825     -51.118                  
161.716     -51.192                  
161.542     -51.399                  
161.368     -51.542                  
161.162     -51.751                  
161.026     -51.924                  
160.762     -52.166                  
160.671     -52.292                  
160.535     -52.433                  
160.342     -52.634                  
160.092     -52.822                  
159.905     -52.991                  
159.731     -53.17                   
159.512     -53.345                  
159.142     -53.812                  
158.985     -54.088                  
158.885     -54.308                  
158.74      -54.559                  
158.465     -55.522                  
158.332     -55.779                  
158.226     -56.022                  
158.153     -56.165                  
158.042     -56.311                  
157.944     -56.438                  
157.823     -56.725                  
157.703     -56.992                  
157.64      -57.23                   
> ON-PS
121.779     24.255                   
122.14      23.949                   
> PA-CL
138.359     9.379                    
139.192     9.065                    
139.886     8.866                    
140.579     8.666                    
141.048     8.392                    
141.517     8.118                    
142.262     7.611                    
142.666     7.388                    
143.07      7.166                    
143.558     6.805                    
144.664     6.611                    
145.067     6.503                    
145.471     6.353                    
146.001     6.16                     
146.382     5.883                    
146.73      5.511                    
147.078     5.138                    
147.425     4.765                    
147.772     4.393                    
148.191     3.776                    
148.863     0.937                    
> PA-NB
154.256     -3.612                   
154.955     -4.55                    
154.992     -4.887                   
> NB-SB
145.399     -3.485                   
146.11      -3.471                   
148.499     -3.222                   
148.675     -3.306                   
148.878     -3.395                   
149.089     -3.466                   
149.295     -3.522                   
149.453     -3.544                   
149.603     -3.57                    
149.717     -3.58                    
149.773     -3.592                   
> NB-MN
150.509     -3.061                   
> MN-SB
149.938     -3.724                   
150.027     -3.752                   
150.121     -3.79                    
150.192     -3.829                   
150.226     -3.874                   
> NB-SB
151.301     -3.656                   
151.375     -3.706                   
153.193     -5.018                   
153.403     -5.361                   
153.614     -5.704                   
153.823     -6.046                   
> WL-SS
155.454     -7.489                   
155.262     -7.629                   
154.872     -7.962                   
154.481     -8.296                   
> WL-AU
151.834     -9.761                   
152.214     -9.945                   
152.849     -10.088                  
154.219     -10.279                  
154.849     -9.723                   
155.172     -9.73                    
155.436     -9.493                   
155.577     -9.531                   
155.797     -9.526                   
156.086     -9.538                   
156.124     -9.381                   
156.428     -9.179                   
156.39      -8.809                   
156.361     -8.598                   
156.331     -8.385                   
> PS-MA
144.082     14.639                   
144.334     14.884                   
144.453     15.526                   
144.671     17.42                    
143.842     20.418                   
142.886     23.701                   
> NH-PA
171.296     -13.793                  
> CR-NH
173.251     -18.532                  
173.379     -21.14                   
> NH-AU
172.439     -23.178                  
172.783     -23.069                  
173.212     -22.834                  
> BR-NH
173.555     -15.697                  
> BR-CR
173.901     -16.849                  
174.885     -16.873                  
175.226     -16.741                  
> AU-CR
175.973     -17.804                  
175.733     -21.422                  
175.231     -21.75                   
> BR-AU
176.377     -16.569                  
176.545     -16.557                  
176.671     -16.553                  
176.79      -16.545                  
176.883     -16.544                  
176.949     -16.524                  
177.035     -16.516                  
177.13      -16.505                  
177.19      -16.504                  
177.269     -16.506                  
177.414     -16.301                  
177.588     -16.225                  
177.721     -16.229                  
177.806     -16.227                  
177.876     -16.222                  
178.007     -16.172                  
178.086     -16.149                  
178.171     -16.115                  
178.283     -16.11                   
178.402     -16.104                  
178.562     -15.897                  
178.936     -15.812                  
179.332     -15.729                  
> PA-BR
176.966     -13.853                  
177.167     -13.948                  
177.417     -14.055                  
178.029     -14.309                  
178.469     -14.501                  
179.012     -14.784                  
179.389     -14.975                  
179.79      -15.218                  
> PA-AU
-179.739    -15.542                  
> FT-AU
-179.444    -15.527                  
> FT-PA
-178.768    -14.23                   
-179.048    -14.927                  
> EA-PA
-114.567    -23.024                  
-114.962    -23.179                  
-115.254    -23.397                  
-115.482    -24.105                  
-115.968    -24.383                  
-116.099    -24.847                  
-113.944    -26.79                   
-113.608    -26.809                  
> EA-NZ
-112.947    -26.724                  
-112.62     -25.934                  
-112.541    -25.787                  
-112.453    -25.059                  
-112.098    -24.11                   
-112.208    -22.821                  
-112.575    -22.619                  
> JZ-AN
-109.691    -34.609                  
> NZ-PA
-113.133    -27.577                  
-112.934    -28.379                  
-112.956    -29.009                  
-112.367    -29.16                   
-111.978    -31.386                  
> GP-PA
-102.088    1.903                    
-102.133    1.778                    
-102.23     1.541                    
-102.203    1.221                    
> GP-NZ
-101.644    1.404                    
-101.348    1.399                    
-101.047    1.471                    
-100.964    1.655                    
-100.908    1.743                    
> PA-CO
-102.118    2.893                    
> NZ-PA
-102.24     0.713                    
> CO-NZ
-101.203    2.241                    
-100.066    2.207                    
> SC-SA
-33.058     -55.458                  
-49.163     -52.664                  
-50.671     -52.71                   
-52.176     -52.873                  
-53.382     -53.209                  
-54.741     -53.406                  
-55.597     -53.53                   
> SW-SC
-29.817     -55.683                  
-30.378     -56.443                  
-30.743     -56.859                  
-30.38      -57.094                  
-30.069     -57.599                  
-29.844     -58.262                  
-29.951     -58.805                  
-29.555     -59.514                  
-29.598     -60.435                  
> SW-AN
-27.697     -60.617                  
-26.889     -60.506                  
> SC-AN
-44.226     -60.243                  
-43.151     -60.376                  
-39.093     -61.018                  
-37.561     -61.243                  
-29.738     -60.575                  
-28.743     -60.601                  
> SW/SA
-28.647     -55.005                  
> AR-IN
60.97       19.813                   
61.23       20.23                    
61.492      20.644                   
61.848      21.126                   
62.132      22.083                   
62.502      22.385                   
62.877      22.683                   
63.631      23.201                   
64.275      23.694                   
64.651      24.038                   
> IN-AR
59.909      15.572                   
59.642      15.242                   
59.034      15.088                   
58.213      14.916                   
> SO-AR
55.108      14.851                   
54.549      14.87                    
54.511      14.76                    
54.069      14.772                   
54.018      14.657                   
53.929      14.489                   
53.22       14.562                   
52.737      14.681                   
52.139      14.689                   
51.94       14.353                   
51.763      14.028                   
51.57       13.667                   
51.449      13.458                   
51.343      13.272                   
50.661      13.362                   
50.31       13.313                   
50.252      13.229                   
49.68       13.313                   
49.593      13.169                   
49.43       13.042                   
49.349      12.897                   
48.882      12.908                   
48.448      12.729                   
48.048      12.671                   
47.991      12.581                   
47.649      12.519                   
47.588      12.441                   
47.161      12.463                   
46.992      12.403                   
46.93       12.3                     
46.579      12.292                   
46.511      12.202                   
46.198      12.172                   
46.15       12.112                   
45.637      12.159                   
45.602      12.073                   
45.328      12.052                   
> AF-SO
33.474      -34.173                  
32.69       -33.595                  
31.917      -33.012                  
31.153      -32.425                  
> NZ-PM
-78.646     7.337                    
-78.751     7.329                    
-78.982     7.319                    
-79.24      7.301                    
-79.846     7.16                     
-80.096     7.101                    
-81.038     7.222                    
-81.163     7.172                    
-81.342     7.099                    
-81.487     7.055                    
-81.584     7.039                    
-81.944     6.95                     
-82.492     7.296                    
-82.617     7.307                    
-82.686     7.278                    
> CA\ND
-70.952     13.438                   
