> AF-AN
95.839      85.102                    
97.273      85.028                    
98.568      84.96                     
99.444      84.911                    
102.918     84.664                    
103.943     84.578                    
105.302     84.485                    
106.759     84.369                    
107.709     84.295                    
108.939     84.194                    
109.727     84.11                     
110.959     83.965                    
111.974     83.824                    
112.843     83.674                    
113.723     83.512                    
114.558     83.321                    
115.258     83.151                    
115.793     83.014                    
116.582     82.74                     
117.171     82.539                    
117.755     82.298                    
119.1       82.087                    
119.984     81.595                    
121.004     81.115                    
121.898     80.643                    
122.639     80.206                    
123.408     79.759                    
125.188     78.99                     
-29.77      39.4                      
-29.609     39.993                    
-29.613     40.033                    
-29.58      40.079                    
-29.656     40.107                    
-29.64      40.208                    
-29.631     40.285                    
-29.598     40.383                    
-29.569     40.47                     
-29.577     40.549                    
-29.346     40.57                     
-29.3       40.705                    
-29.278     40.871                    
-29.256     40.985                    
-29.242     41.126                    
-29.322     41.247                    
-29.292     41.385                    
-29.245     41.52                     
-29.206     41.683                    
-29.2       41.8                      
-29.261     41.929                    
-29.242     42.083                    
-29.245     42.175                    
-29.223     42.237                    
-29.435     42.291                    
-29.392     42.413                    
-29.37      42.527                    
-29.339     42.613                    
-29.318     42.674                    
-29.372     42.724                    
-29.349     42.838                    
-29.327     42.951                    
-29.317     43.028                    
-29.174     43.08                     
-29.091     43.208                    
-29.008     43.389                    
-28.934     43.493                    
-28.885     43.628                    
-28.84      43.698                    
-28.524     43.768                    
-28.513     43.845                    
-28.481     43.931                    
-28.483     44.023                    
-28.455     44.096                    
-28.436     44.145                    
-28.367     44.184                    
-28.32      44.307                    
-28.282     44.405                    
-28.257     44.518                    
-28.215     44.628                    
-28.168     44.75                     
-28.144     44.812                    
-28.142     44.864                    
-28.157     44.92                     
-28.139     44.968                    
-28.115     45.03                     
-28.1       45.066                    
-27.994     45.098                    
-27.988     45.163                    
-27.986     45.215                    
-27.979     45.28                     
-27.937     45.337                    
-27.935     45.39                     
-27.938     45.43                     
-27.871     45.456                    
-27.862     45.48                     
-27.864     45.521                    
-27.825     45.526                    
-27.795     45.599                    
-27.773     45.7                      
-27.759     45.829                    
-27.699     45.883                    
-27.697     45.936                    
-27.602     45.983                    
-27.585     46.072                    
-27.572     46.149                    
-27.512     46.203                    
-27.489     46.304                    
-27.487     46.356                    
-27.472     46.485                    
-27.446     46.638                    
-27.444     46.691                    
-27.378     46.757                    
-27.377     46.849                    
-27.347     46.922                    
-27.334     46.999                    
-27.382     47.114                    
-27.441     47.205                    
-27.474     47.264                    
-27.461     47.341                    
-27.458     47.393                    
-27.464     47.473                    
-27.443     47.522                    
-27.448     47.602                    
-27.564     47.651                    
-27.59      47.775                    
-27.622     47.886                    
-27.635     47.994                    
-27.654     48.09                     
-27.704     48.205                    
-27.712     48.325                    
-27.731     48.421                    
-27.749     48.517                    
-28.011     48.605                    
-28.035     48.688                    
-28.087     48.803                    
-28.162     48.909                    
-28.206     48.996                    
-28.263     49.099                    
-28.317     49.161                    
-28.353     49.22                     
-28.426     49.286                    
-28.452     49.369                    
-28.486     49.481                    
-28.545     49.583                    
-28.818     49.657                    
-28.869     49.731                    
-28.895     49.815                    
-28.96      49.905                    
-28.987     49.988                    
-28.995     50.068                    
-29.022     50.152                    
-29.126     50.195                    
-29.198     50.221                    
-29.322     50.32                     
-29.427     50.416                    
-29.508     50.469                    
-29.537     50.5                      
-29.662     50.598                    
-29.768     50.694                    
-29.831     50.743                    
-29.875     50.79                     
-29.909     50.861                    
-29.942     50.931                    
-29.982     50.99                     
-29.976     51.107                    
-30.001     51.254                    
-29.996     51.424                    
-30.001     51.62                     
-30.006     51.765                    
-30.011     51.857                    
-30.036     51.953                    
-31.268     52.109                    
-31.253     52.263                    
-31.265     52.343                    
-35.138     52.705                    
-35.156     52.861                    
-35.161     52.99                     
-35.184     53.134                    
-35.325     53.238                    
-35.282     53.388                    
-35.257     53.475                    
-35.452     53.546                    
-35.395     53.668                    
-35.327     53.828                    
-35.27      53.951                    
-35.201     54.111                    
-35.147     54.22                     
-35.488     54.331                    
-35.412     54.516                    
-35.365     54.678                    
-35.289     54.786                    
-35.274     54.913                    
-35.339     54.996                    
-35.251     55.141                    
-35.173     55.326                    
-35.08      55.484                    
-34.972     55.691                    
-34.901     55.774                    
-34.638     55.812                    
-34.62      55.939                    
-34.558     56.061                    
-34.51      56.21                     
-34.493     56.337                    
-34.46      56.436                    
-34.346     56.502                    
-34.321     56.577                    
-34.247     56.659                    
-34.072     56.739                    
-34.043     56.78                     
-34.004     56.827                    
-33.587     56.875                    
-33.566     57.001                    
-33.535     57.088                    
-33.509     57.162                    
-33.203     57.285                    
-33.07      57.451                    
-33.01      57.548                    
-32.964     57.608                    
-32.806     57.642                    
-32.708     57.773                    
-32.619     57.88                     
-32.492     57.957                    
-32.28      57.998                    
-32.123     58.148                    
-31.983     58.249                    
-31.872     58.34                     
-31.8       58.397                    
-31.556     58.447                    
-31.427     58.574                    
-31.303     58.69                     
-31.178     58.805                    
-31.039     58.892                    
-30.791     58.941                    
-30.647     59.092                    
-30.453     59.238                    
-30.306     59.39                     
-30.163     59.529                    
-30.043     59.618                    
-29.85      59.751                    
-29.636     59.868                    
-29.507     59.969                    
> PA-JF
-127.579    40.45                     
-127.717    40.573                    
-127.639    41.081                    
-127.446    41.555                    
-127.401    41.64                     
-127.241    41.692                    
-127.039    42.357                    
-130.48     44.589                    
-130.367    44.93                     
-130.069    45.285                    
-130.187    45.414                    
-129.936    45.736                    
-130.073    45.943                    
-130.051    46.196                    
-129.917    46.229                    
-129.572    46.402                    
-129.259    47.065                    
-129.19     47.835                    
-128.94     48.324                    
-129.147    48.476                    
-130.501    49.479                    
-130.162    49.983                    
-130.3      50.055                    
-130.329    50.298                    
-130.254    50.465                    
-130.753    50.908                    
-131.074    51.185                    
> NA-PA
-113.758    29.834                    
-111.382    27.497                    
-111.373    27.105                    
-110.68     26.361                    
-109.806    25.557                    
-109.062    24.658                    
-108.357    23.614                    
-108.01     22.986                    
> NA-SA
-55.484     17.784                    
-54.853     17.309                    
-54.155     17.136                    
-53.46      16.956                    
-52.881     16.761                    
-52.304     16.567                    
-51.661     16.321                    
-51.024     16.073                    
-50.467     15.87                     
-49.803     15.983                    
-49.207     16.035                    
-48.515     16.013                    
-47.693     15.957                    
-47.398     15.804                    
> NZ-PA
-102.319    -0.015                    
-102.397    -0.503                    
-102.399    -1.283                    
-102.307    -1.596                    
-102.621    -1.906                    
-102.687    -2.436                    
-102.566    -2.936                    
-102.571    -3.435                    
-104.539    -3.844                    
-105.38     -4.078                    
-106.253    -4.494                    
-106.45     -5.043                    
-106.741    -5.62                     
-106.845    -6.016                    
-107.441    -6.367                    
-107.607    -6.759                    
-107.653    -7.186                    
-107.88     -7.514                    
-108.063    -8.24                     
-108.192    -8.357                    
-109.756    -8.925                    
-110.071    -9.665                    
-110.218    -10.08                    
-110.447    -10.822                   
-110.485    -11.394                   
-110.675    -11.472                   
-110.926    -11.968                   
-110.892    -12.755                   
-111.191    -13.396                   
-112.426    -13.386                   
-112.439    -13.865                   
-112.581    -14.062                   
-112.766    -14.704                   
-112.869    -15.248                   
-112.973    -15.792                   
-112.973    -16.361                   
-113.041    -16.683                   
-113.117    -17.065                   
-113.174    -17.538                   
-113.264    -18.008                   
-113.383    -18.444                   
-113.364    -18.777                   
-113.498    -19.301                   
-113.697    -19.968                   
-113.796    -20.321                   
-113.931    -20.574                   
-114.087    -20.599                   
-114.229    -21.121                   
-114.318    -21.564                   
-114.379    -21.627                   
> NI-FT
-176.346    -14.634                   
-176.339    -14.78                    
-176.462    -15.419                   
-176.526    -15.489                   
> NI-AU
-177.248    -15.71                    
-177.384    -15.807                   
-177.493    -15.899                   
-177.575    -15.961                   
-177.634    -16.024                   
-176.532    -17.574                   
-176.462    -17.731                   
-176.403    -17.873                   
-176.304    -18.055                   
-176.297    -18.131                   
