==============================================================================================
There are 77 records found

Search criteria:
  Start: 1996-03-28		End: 2020-04-21
  6.0 <= ML <= 10 		0 <= Depth <= 999 		0 <= Plunge <= 90
  Archived Solutions

File Header:
Date, Time, Latitude, Longitude, CWB Depth, ML, strike1, dip1, slip1, strike2, dip2, slip2, m11, m22, m33, m12, m13, m23, Mrr, Mtt, Mff, Mrt, Mrf, Mtf, exponentexponent, M0, Mw, Centroid_depth, CLVD, ISO, misfit, gap, nsta, Paz, Ppl, Baz, Bpl, Taz, Tpl, QC
2009-10-03,17:36:06.28,23.6475,121.5790,29.15,6.09,247.59,43.06,141.50,7.75,64.85,53.82,-1.539122,-4.369269,5.113984,5.259169,-1.450664,-4.680317,5.113984,-1.539122,-4.369269,-1.450664,4.680320,-5.259170,24,8.68762e+24,5.90,29,3.8,-2.9,0.174,207.600,7,123.064,12.480,25.021,32.299,-128.648,54.804,A1
2009-11-05,09:32:57.66,23.7890,120.7186,24.08,6.15,346.22,55.35,42.61,228.61,56.16,136.80,0.495404,-1.807677,1.312273,0.800923,-0.982781,-0.282399,1.312273,0.495404,-1.807677,-0.982781,0.282399,-0.800923,24,2.07477e+24,5.48,19,3.0,0.0,0.262,127.000,7,-72.419,0.471,17.940,37.261,-163.038,52.735,A1
2009-12-19,13:02:16.34,23.7880,121.6633,43.78,6.92,265.33,20.09,177.32,357.84,89.08,69.93,-0.507050,0.101539,0.405511,1.777622,-0.584578,-4.786447,0.405511,-0.507050,0.101539,-0.584578,4.786450,-1.777620,25,5.1602e+25,6.41,37,28.2,0.0,0.399,236.800,7,106.528,40.747,-1.817,20.067,-111.365,42.488,B3
2010-03-04,00:18:52.14,22.9691,120.7066,22.64,6.42,21.75,18.07,123.91,166.49,75.08,79.68,0.217854,-1.262994,1.431513,0.126019,0.651228,2.137672,1.431513,0.217854,-1.262994,0.651228,-2.137670,-0.126019,25,2.61831e+25,6.22,29,3.9,4.7,0.339,282.500,7,-95.161,29.354,169.169,9.965,62.388,58.678,B1
2010-11-21,12:31:45.64,23.8525,121.6856,46.87,6.14,259.17,19.49,160.66,7.47,83.66,71.53,-0.466000,-0.202780,0.668779,0.837162,0.105409,-2.531999,0.668779,-0.466000,-0.202780,0.105409,2.532000,-0.837162,24,2.73418e+24,5.56,46,20.2,0.0,0.234,209.200,7,113.560,36.048,9.591,18.350,-102.132,48.135,A3
2011-10-30,03:23:43.75,25.3133,123.1560,215.77,6.27,213.98,46.08,38.98,94.68,63.06,128.92,-2.091282,0.143581,1.947700,1.475738,1.389211,1.173593,1.947700,-2.091282,0.143581,1.389211,-1.173590,-1.475740,24,3.09497e+24,5.60,204,16.9,0.0,0.282,326.400,7,157.884,9.793,-105.417,34.052,54.047,54.182,A2
2012-02-26,02:35:00.43,22.7523,120.7546,26.31,6.35,324.70,25.00,56.51,180.82,69.36,104.43,-0.359749,-4.828704,5.188453,-1.703479,-0.922416,5.696351,5.188453,-0.359749,-4.828704,-0.922416,-5.696350,1.703480,24,7.8348e+24,5.87,21,11.2,0.0,0.320,286.200,7,-100.210,23.056,-4.351,13.485,113.572,62.883,B2
2012-06-09,21:00:18.19,24.4590,122.3068,69.88,6.62,49.60,45.65,134.37,175.14,59.26,54.42,0.317665,-3.777777,3.460112,2.052014,1.661722,1.763873,3.460112,0.317665,-3.777777,1.661722,-1.763870,-2.052010,24,4.82242e+24,5.73,58,4.9,0.0,0.488,241.400,7,-70.327,7.634,-164.766,30.003,32.481,58.842,B1
2012-12-08,14:26:54.61,25.6696,122.4456,312.01,6.23,178.66,10.78,-101.59,10.45,79.44,-87.81,0.844232,2.551030,-0.984121,-0.129455,-0.863903,4.479689,-0.984121,0.844232,2.551030,-0.863903,-4.479690,0.129455,23,4.99251e+23,5.07,302,2.1,14.2,0.232,330.700,7,-76.812,55.506,-169.949,2.154,98.575,34.407,A2
2013-03-27,02:03:19.63,23.9021,121.0526,19.43,6.24,348.37,18.84,67.87,191.63,72.59,97.32,-0.769026,-5.565498,6.334523,-0.261046,-2.263617,8.076244,6.334523,-0.769026,-5.565498,-2.263617,-8.076240,0.261046,24,1.03084e+25,5.95,24,20.2,0.0,0.323,111.900,7,-84.197,27.239,9.421,6.987,112.596,61.732,B3
2013-04-10,20:20:24.35,20.6495,122.2228,22.10,6.05,10.53,43.42,67.51,220.22,50.57,109.91,-1.086480,-7.462587,8.549066,3.911211,-2.588299,0.015768,8.549066,-1.086480,-7.462587,-2.588299,-0.015768,-3.911210,24,9.32608e+24,5.92,10,2.9,0.0,0.461,329.100,7,-63.743,3.700,27.267,15.244,-167.038,74.292,B1
2013-05-21,08:25:55.97,23.3325,123.6883,53.07,6.06,63.05,41.72,-114.28,274.20,52.66,-69.87,2.990558,-0.511273,-2.479285,-0.696311,0.655326,0.480142,-2.479285,2.990558,-0.511273,0.655326,-0.480142,0.696311,24,2.96996e+24,5.59,65,29.9,0.0,0.486,300.200,7,-119.024,73.085,81.658,15.881,-9.961,5.672,B3
2013-06-02,05:43:03.21,23.8615,120.9741,14.54,6.48,359.17,26.60,84.44,185.38,63.53,92.78,0.086537,-2.265282,2.178745,0.097772,-0.211683,1.664514,2.178745,0.086537,-2.265282,-0.211683,-1.664510,-0.097772,25,2.7871e+25,6.23,14,6.0,0.0,0.384,140.100,7,-86.687,18.490,4.145,2.486,101.529,71.332,B1
2013-06-07,16:38:02.39,23.9831,122.6470,35.32,6.21,293.04,35.97,125.83,71.31,61.56,66.98,-2.967333,0.441806,2.524345,-0.125241,1.369325,-1.098574,2.524345,-2.967333,0.441806,1.369325,1.098570,0.125241,24,3.28388e+24,5.61,31,1.3,0.0,0.340,257.100,7,177.832,13.624,82.740,20.110,-60.256,65.369,B1
2013-09-06,11:33:51.23,20.0461,122.2831,206.17,6.76,192.59,51.70,-145.19,79.28,63.38,-43.88,6.023946,5.288919,-3.215159,-7.710049,-4.487025,-1.952496,-3.215159,6.023946,5.288919,-4.487025,1.952500,7.710050,24,1.09859e+25,5.96,194,17.0,19.8,0.353,330.000,7,40.285,49.028,-125.696,40.116,138.386,6.977,B4
2013-10-31,12:02:09.54,23.5661,121.3485,14.98,6.42,60.15,38.50,111.47,213.47,54.60,73.77,-0.919704,-0.815927,1.735631,1.236088,-0.148708,0.657398,1.735631,-0.919704,-0.815927,-0.148708,-0.657398,-1.236090,25,2.06015e+25,6.15,24,25.8,0.0,0.411,181.000,7,-45.011,8.265,-136.959,13.170,76.271,74.371,B3
2014-12-10,21:03:39.07,25.4491,122.6070,268.62,6.70,261.77,20.24,-95.06,87.16,69.84,-88.14,0.792260,0.169671,-0.961931,-0.069869,-1.036828,0.028630,-0.961931,0.792260,0.169671,-1.036828,-0.028630,0.069869,25,1.36806e+25,6.03,258,22.8,0.0,0.343,270.200,7,0.291,65.110,-93.481,1.749,175.710,24.820,B3
2015-02-13,20:06:31.83,22.6581,121.3966,27.78,6.28,221.31,50.33,133.93,344.84,56.34,50.08,0.434499,-1.975470,1.412186,0.589006,-0.839689,-0.391629,1.412186,0.434499,-1.975470,-0.839689,0.391629,-0.589006,25,2.0611e+25,6.15,22,3.9,-2.0,0.312,215.500,7,101.874,3.406,9.720,32.278,-162.766,57.499,B1
2015-03-23,10:13:51.62,23.7256,121.6706,38.40,6.19,8.78,37.52,64.19,220.15,56.75,108.49,-0.205913,-1.531425,1.736753,0.758570,-0.754129,0.350456,1.736753,-0.205913,-1.531425,-0.754129,-0.350456,-0.758570,24,1.99222e+24,5.47,34,1.1,0.0,0.274,196.400,7,-63.005,9.970,29.766,15.377,175.224,71.537,A1
2015-04-20,11:45:13.76,24.0353,122.5065,33.87,6.15,285.89,24.81,114.49,79.25,67.55,79.15,-4.756433,0.346413,5.891747,-0.338059,4.993612,-1.619168,5.891747,-4.756433,0.346413,4.993612,1.619170,0.338059,24,7.51001e+24,5.85,23,12.3,6.0,0.339,233.500,7,177.483,21.828,83.426,10.017,-29.676,65.764,B2
2015-04-20,01:42:56.1,24.0223,122.4410,30.57,6.38,288.50,32.59,103.20,92.95,58.37,81.69,-3.744951,0.243474,3.501476,-0.753484,1.848139,-0.159979,3.501476,-3.744951,0.243474,1.848139,0.159979,0.753484,25,4.14501e+25,6.35,35,14.9,0.0,0.473,229.400,7,-171.039,13.001,97.321,7.065,-20.533,75.144,B2
2016-02-02,14:19:21.67,25.4235,123.5358,203.74,6.65,227.06,37.34,-69.24,21.56,55.45,-105.13,2.483557,4.445591,-3.881532,-2.510781,0.065513,2.034140,-3.881532,2.483557,4.445591,0.065513,-2.034140,2.510780,24,5.56281e+24,5.77,215,0.7,15.8,0.160,337.200,7,-111.824,74.414,30.288,12.415,122.348,9.273,A2
2016-02-05,19:57:26.08,22.9220,120.5438,14.64,6.60,269.71,33.86,14.97,167.19,81.72,122.95,-0.860715,-0.244048,1.104763,-2.796516,0.930994,3.710622,1.104763,-0.860715,-0.244048,0.930994,-3.710620,2.796520,25,4.84421e+25,6.39,27,26.5,0.0,0.422,142.600,7,-128.907,29.040,-18.138,32.565,109.240,43.547,B3
