      lon        lat       Ve       Vn        Se       Sn      Cen     site
   239.42744   35.45521  -27.001   31.592    0.999    1.157  -0.3147  barren__
   239.30301   35.38522  -28.642   34.591    1.056    1.299  -0.3528  tess____
   239.61915   35.67350  -23.496   30.344    1.557    1.039  -0.0396  hopper__
   239.25013   35.47176  -27.709   35.526    1.221    1.746   0.1908  prospect
   239.73654   35.87726  -10.444   19.474    0.990    0.796  -0.1206  bonnie__
   239.65030   35.83034  -14.006   22.417    0.927    0.787   0.0773  gold____
   239.73272   35.75522  -14.503   20.834    1.739    2.232   0.0206  hearst__
   239.65316   35.91335   -9.810   19.988    1.065    0.777   0.0830  kenger__
   239.71014   35.81534  -13.297   20.667    1.606    1.463  -0.2261  moose___
   239.58029   35.78849  -23.429   31.428    1.612    1.383   0.1928  towers__
   239.53148   35.76277  -22.188   32.828    0.913    0.956   0.0499  wild____
   238.99439   35.46707  -29.973   35.122    1.530    2.961   0.4892  villa_2_
   239.69432   35.89516   -9.688   21.163    1.178    0.808   0.0630  park____
   239.68096   35.85842   -9.979   18.428    1.619    1.511  -0.2529  two_oaks
   239.53814   35.88721  -20.053   31.915    1.021    1.209   0.1207  break___
   239.46338   35.92441  -20.046   36.620    1.276    1.970   0.3653  buckhill
   239.52698   35.86384  -22.338   32.251    1.133    1.215   0.0896  flattop_
   239.52399   35.92415  -22.735   29.372    2.706    1.671  -0.0852  pitt____
   239.59149   35.93596   -8.966   22.057    1.501    1.072  -0.0399  table___
   239.41875   35.97053  -20.705   38.907    1.664    2.939   0.6571  cholame_
   239.52251   36.00036   -4.441   25.358    2.219    1.343   0.5398  gastro__
   239.56542   35.96903   -5.795   21.634    1.627    0.892   0.1888  mine_mt_
   240.24019   35.03586  -25.036   24.778    1.567    1.581   0.4994  caliente
   240.23636   35.29028  -19.619   19.900    1.448    1.127   0.1728  mckttrck
   239.99530   35.35097  -25.033   26.386    1.813    1.041   0.2053  simmler_
   240.44530   35.11239  -16.996   19.695    1.970    1.521   0.5336  temblor_
   239.56270   35.83471  -21.249   31.062    1.062    0.969   0.0846  cobra___
   239.62565   35.86972  -16.880   23.537    1.593    1.322  -0.1412  melville
   239.47982   35.91960  -18.892   33.149    1.236    1.636   0.3110  mid_f___
   240.59501   34.91977  -22.084   20.481    1.532    1.376   0.3404  pelato__
   239.40423   36.07850   -3.470   21.467    4.277    3.418   0.8469  mith____
   241.78010   34.77639  -11.602   19.311    1.466    1.792  -0.2577  avenue__
   241.64436   34.56053  -21.324   23.190    1.218    1.406   0.2302  pelona__
   241.81137   34.98215  -10.089   17.815    2.070    1.953  -0.5338  soledad_
   241.58114   34.86237  -10.539   16.870    1.460    1.495  -0.1305  thumb___
   241.44695   34.81796  -14.266   20.256    1.448    1.660   0.1010  bull____
   241.38507   34.93419  -13.724   17.725    1.407    1.246  -0.0764  diorite_
   242.10158   34.63076  -11.674   15.203    1.608    1.432  -0.2534  tom_____
   241.29717   34.95892  -15.627   17.297    1.445    1.529  -0.0062  gneiss__
   241.09592   34.90268  -19.501   18.754    1.319    1.183   0.1727  police__
   241.43893   34.69273  -19.448   22.039    1.230    1.225   0.1311  saw_ecc_
   241.18486   34.80325  -19.633   20.932    1.267    1.158   0.1458  tejon_41
   241.01886   34.84211  -21.959   19.628    1.251    1.392   0.0112  tecuyrm1
   241.17780   35.12352  -17.880   13.820    1.937    1.467  -0.2009  tejon_32
   242.30065   33.72868  -27.940   28.000    1.160    0.933  -0.0264  bee_____
